X,Y,route_fid,route_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-2.59342419591362,51.451943834002,0,0,8.7,,,,,,,,,,,,,,,,,,,,,,
-2.59347784009371,51.452054151179,0,1,8.7,,,,,,,,,,,,,,,,,,,,,,
-2.59378897634002,51.452027407646,0,2,8.1,,,,,,,,,,,,,,,,,,,,,,
-2.59410011258645,51.452000664096,0,3,8.1,,,,,,,,,,,,,,,,,,,,,,
-2.59440051999681,51.451937148104,0,4,7.9,,,,,,,,,,,,,,,,,,,,,,
-2.59471702066148,51.451846888385,0,5,7.9,,,,,,,,,,,,,,,,,,,,,,
-2.5951032587605,51.451773343296,0,6,8.9,,,,,,,,,,,,,,,,,,,,,,
-2.5953500219906,51.451706484022,0,7,9.3,,,,,,,,,,,,,,,,,,,,,,
-2.5956182428926,51.451693112155,0,8,9.3,,,,,,,,,,,,,,,,,,,,,,
-2.59582745519577,51.451766657373,0,9,9.4,,,,,,,,,,,,,,,,,,,,,,
-2.59601520982711,51.451810115855,0,10,9.3,,,,,,,,,,,,,,,,,,,,,,
-2.59631561723697,51.451897032698,0,11,9.3,,,,,,,,,,,,,,,,,,,,,,
-2.59646582094196,51.45195386285,0,12,8.6,,,,,,,,,,,,,,,,,,,,,,
-2.5966106602289,51.452014035875,0,13,8.6,,,,,,,,,,,,,,,,,,,,,,
-2.59671794858923,51.452137724623,0,14,8.6,,,,,,,,,,,,,,,,,,,,,,
-2.59682523694966,51.452261413035,0,15,8.5,,,,,,,,,,,,,,,,,,,,,,
-2.59700762716202,51.452535532106,0,16,8.5,,,,,,,,,,,,,,,,,,,,,,
-2.59721147504749,51.452528846295,0,17,8.8,,,,,,,,,,,,,,,,,,,,,,
-2.59733485666261,51.452515474669,0,18,8.8,,,,,,,,,,,,,,,,,,,,,,
-2.59744214502347,51.452478702678,0,19,8.8,,,,,,,,,,,,,,,,,,,,,,
-2.59752976652959,51.452448048074,0,20,8.8,,,,,,,,,,,,,,,,,,,,,,
-2.59774434325097,51.452451390986,0,21,8.8,,,,,,,,,,,,,,,,,,,,,,
-2.59781944510355,51.452468105541,0,22,8.8,,,,,,,,,,,,,,,,,,,,,,
-2.59786772486585,51.452488162999,0,23,8.8,,,,,,,,,,,,,,,,,,,,,,
-2.59794819113621,51.452534963699,0,24,11.2,,,,,,,,,,,,,,,,,,,,,,
-2.59804475066067,51.452628564959,0,25,11.2,,,,,,,,,,,,,,,,,,,,,,
-2.59818422552951,51.452668679725,0,26,9.5,,,,,,,,,,,,,,,,,,,,,,
-2.59824680772923,51.452572304054,0,27,11.2,,,,,,,,,,,,,,,,,,,,,,
-2.59834873167217,51.452478702678,0,28,11.2,,,,,,,,,,,,,,,,,,,,,,
-2.59845065561497,51.452408501522,0,29,11.2,,,,,,,,,,,,,,,,,,,,,,
-2.59863304582861,51.45236504361,0,30,13.5,,,,,,,,,,,,,,,,,,,,,,
-2.59893881765683,51.452385101115,0,31,13.5,,,,,,,,,,,,,,,,,,,,,,
-2.59925531832101,51.452408501524,0,32,13.5,,,,,,,,,,,,,,,,,,,,,,
-2.59958791223921,51.452468673951,0,33,16.5,,,,,,,,,,,,,,,,,,,,,,
-2.59985613314078,51.452589018565,0,34,16.5,,,,,,,,,,,,,,,,,,,,,,
-2.60022627798524,51.452736105996,0,35,17.4,,,,,,,,,,,,,,,,,,,,,,
-2.60051595655872,51.452896564471,0,36,17.4,,,,,,,,,,,,,,,,,,,,,,
-2.60083245722227,51.453127222542,0,37,15.8,,,,,,,,,,,,,,,,,,,,,,
-2.60114895788595,51.453354536603,0,38,15.8,,,,,,,,,,,,,,,,,,,,,,
-2.60158347574617,51.453678791464,0,39,20.3,,,,,,,,,,,,,,,,,,,,,,
-2.60206627336832,51.454069899935,0,40,20.8,,,,,,,,,,,,,,,,,,,,,,
-2.6025758930808,51.454467690581,0,41,29.2,,,,,,,,,,,,,,,,,,,,,,
-2.60353612390751,51.455186379182,0,42,36.3,,,,,,,,,,,,,,,,,,,,,,
-2.60423886266902,51.455737923223,0,43,42.9,,,,,,,,,,,,,,,,,,,,,,
